tax_order,tax_suborder,tax_greatgroup,tax_subgroup
gelisol,orthel,molorthel,molorthel gl cico
gelisol,orthel,molorthel,molorthel  ndico
gelisol,orthel,psammorthel,psammorthel t¡pico
gelisol,orthel,psammorthel,psammorthel l¡tico
gelisol,orthel,psammorthel,psammorthel gl cico
gelisol,orthel,psammorthel,psammorthel sp¢dico
gelisol,orthel,umbrorthel,umbrorthel t¡pico
gelisol,orthel,umbrorthel,umbrorthel v‚rtico
gelisol,orthel,umbrorthel,umbrorthel vitr ndico
gelisol,orthel,umbrorthel,umbrorthel l¡tico
gelisol,orthel,umbrorthel,umbrorthel  cuico
gelisol,orthel,umbrorthel,umbrorthel cum£lico
gelisol,orthel,umbrorthel,umbrorthel fol¡stico
gelisol,orthel,umbrorthel,umbrorthel gl cico
gelisol,orthel,umbrorthel,umbrorthel  ndico
gelisol,saprist,sapristel,sapristel t¡pico
gelisol,saprist,sapristel,sapristel l¡tico
gelisol,saprist,sapristel,sapristel fluvacu‚ntico
gelisol,saprist,sapristel,sapristel t‚rrico
gelisol,turbel,anhiturbel,anhiturbel t¡pico
gelisol,turbel,anhiturbel,anhiturbel gypsico
gelisol,turbel,anhiturbel,anhiturbel n¡trico
gelisol,turbel,anhiturbel,anhiturbel petrogypsico
gelisol,turbel,anhiturbel,anhiturbel s lico
gelisol,turbel,anhiturbel,anhiturbel c lcico
gelisol,turbel,anhiturbel,anhiturbel gl cico
gelisol,turbel,anhiturbel,anhiturbel l¡tico
gelisol,turbel,acuiturbel,acuiturbel t¡pico
gelisol,turbel,acuiturbel,acuiturbel psamm‚ntico
gelisol,turbel,acuiturbel,acuiturbel h¡stico-r£ptico
gelisol,turbel,acuiturbel,acuiturbel gl cico
gelisol,turbel,acuiturbel,acuiturbel l¡tico
gelisol,turbel,acuiturbel,acuiturbel sulf£rico
gelisol,turbel,haploturbel,haploturbel t¡pico
gelisol,turbel,haploturbel,haploturbel l¡tico
gelisol,turbel,haploturbel,haploturbel  cuico
gelisol,turbel,haploturbel,haploturbel fol¡stico
gelisol,turbel,haploturbel,haploturbel gl cico
gelisol,turbel,histoturbel,histoturbel t¡pico
gelisol,turbel,histoturbel,histoturbel l¡tico
gelisol,turbel,histoturbel,histoturbel r£ptico
gelisol,turbel,histoturbel,histoturbel gl cico
gelisol,turbel,moliturbel,moliturbel t¡pico
gelisol,turbel,moliturbel,moliturbel v‚rtico
gelisol,turbel,moliturbel,moliturbel vitr ndico
gelisol,turbel,moliturbel,moliturbel l¡tico
gelisol,turbel,moliturbel,moliturbel  cuico
gelisol,turbel,moliturbel,moliturbel cum£lico
gelisol,turbel,moliturbel,moliturbel fol¡stico
gelisol,turbel,moliturbel,moliturbel gl cico
gelisol,turbel,moliturbel,moliturbel  ndico
gelisol,turbel,psammoturbel,psammoturbel t¡pico
gelisol,turbel,psammoturbel,psammoturbel l¡tico
gelisol,turbel,psammoturbel,psammoturbel gl cico
gelisol,turbel,psammoturbel,psammoturbel sp¢dico
gelisol,turbel,umbriturbel,umbriturbel t¡pico
gelisol,turbel,umbriturbel,umbriturbel v‚rtico
gelisol,turbel,umbriturbel,umbriturbel vitr ndico
gelisol,turbel,umbriturbel,umbriturbel l¡tico
gelisol,turbel,umbriturbel,umbriturbel  cuico
gelisol,turbel,umbriturbel,umbriturbel cum£lico
gelisol,turbel,umbriturbel,umbriturbel fol¡stico
gelisol,turbel,umbriturbel,umbriturbel gl cico
gelisol,turbel,umbriturbel,umbriturbel  ndico
histosol,fibrist,criofibrist,criofibrist t¡pico
histosol,fibrist,criofibrist,criofibrist l¡tico
histosol,fibrist,criofibrist,criofibrist sph ngico
histosol,fibrist,criofibrist,criofibrist fluvacu‚ntico
histosol,fibrist,criofibrist,criofibrist h¡drico
histosol,fibrist,criofibrist,criofibrist t‚rrico
histosol,fibrist,haplofibrist,haplofibrist t¡pico
histosol,fibrist,haplofibrist,haplofibrist l¡tico
histosol,fibrist,haplofibrist,haplofibrist fluvacu‚ntico
histosol,fibrist,haplofibrist,haplofibrist h‚mico
histosol,fibrist,haplofibrist,haplofibrist h¡drico
histosol,fibrist,haplofibrist,haplofibrist l¡mnico
histosol,fibrist,haplofibrist,haplofibrist t‚rrico
histosol,fibrist,sphagnofibrist,sphagnofibrist t¡pico
histosol,fibrist,sphagnofibrist,sphagnofibrist l¡tico
histosol,fibrist,sphagnofibrist,sphagnofibrist fluvacu‚ntico
histosol,fibrist,sphagnofibrist,sphagnofibrist h‚mico
histosol,fibrist,sphagnofibrist,sphagnofibrist h¡drico
histosol,fibrist,sphagnofibrist,sphagnofibrist l¡mnico
histosol,fibrist,sphagnofibrist,sphagnofibrist t‚rrico
histosol,folist,criofolist,criofolist t¡pico
histosol,folist,criofolist,criofolist l¡tico
histosol,folist,torrifolist,torrifolist t¡pico
histosol,folist,torrifolist,torrifolist l¡tico
histosol,folist,udifolist,udifolist t¡pico
histosol,folist,udifolist,udifolist l¡tico
histosol,folist,ustifolist,ustifolist t¡pico
histosol,folist,ustifolist,ustifolist l¡tico
histosol,hemist,criohemist,criohemist t¡pico
histosol,hemist,criohemist,criohemist l¡tico
histosol,hemist,criohemist,criohemist fluvacu‚ntico
histosol,hemist,criohemist,criohemist h¡drico
histosol,hemist,criohemist,criohemist t‚rrico
histosol,hemist,haplohemist,haplohemist t¡pico
histosol,hemist,haplohemist,haplohemist l¡tico
histosol,hemist,haplohemist,haplohemist s prico
histosol,hemist,haplohemist,haplohemist f¡brico
histosol,hemist,haplohemist,haplohemist fluvacu‚ntico
histosol,hemist,haplohemist,haplohemist h¡drico
histosol,hemist,haplohemist,haplohemist l¡mnico
histosol,hemist,haplohemist,haplohemist t‚rrico
histosol,hemist,luvihemist,luvihemist t¡pico
histosol,hemist,sulfihemist,sulfihemist t¡pico
histosol,hemist,sulfihemist,sulfihemist t‚rrico
histosol,hemist,sulfohemist,sulfohemist t¡pico
histosol,saprist,criosaprist,criosaprist t¡pico
histosol,saprist,criosaprist,criosaprist l¡tico
histosol,saprist,criosaprist,criosaprist fluvacu‚ntico
histosol,saprist,criosaprist,criosaprist l¡mnico
histosol,saprist,criosaprist,criosaprist t‚rrico
histosol,saprist,haplosaprist,haplosaprist t¡pico
histosol,saprist,haplosaprist,haplosaprist h lico
histosol,saprist,haplosaprist,haplosaprist t‚rrico h lico
histosol,saprist,haplosaprist,haplosaprist l¡tico
histosol,saprist,haplosaprist,haplosaprist fluvacu‚ntico
histosol,saprist,haplosaprist,haplosaprist h‚mico
histosol,saprist,haplosaprist,haplosaprist l¡mnico
histosol,saprist,haplosaprist,haplosaprist t‚rrico
histosol,saprist,sulfisaprist,sulfisaprist t¡pico
histosol,saprist,sulfisaprist,sulfisaprist t‚rrico
histosol,saprist,sulfosaprist,sulfosaprist t¡pico
histosol,wassist,frasiwassist,frasiwassist t¡pico
histosol,wassist,frasiwassist,frasiwassist s prico
histosol,wassist,frasiwassist,frasiwassist f¡brico
histosol,wassist,haplowassist,haplowassist t¡pico
histosol,wassist,haplowassist,haplowassist s prico
histosol,wassist,haplowassist,haplowassist f¡brico
histosol,wassist,haplowassist,haplowassist s£lfico
histosol,wassist,sulfiwassist,sulfiwassist t¡pico
histosol,wassist,sulfiwassist,sulfiwassist s prico
histosol,wassist,sulfiwassist,sulfiwassist f¡brico
inceptisol,acuept,criacuept,criacuept t¡pico
inceptisol,acuept,criacuept,criacuept v‚rtico
inceptisol,acuept,criacuept,criacuept l¡tico
inceptisol,acuept,criacuept,criacuept fluvacu‚ntico
inceptisol,acuept,criacuept,criacuept h¡stico
inceptisol,acuept,criacuept,criacuept l¡tico h¡stico
inceptisol,acuept,criacuept,criacuept h£mico
inceptisol,acuept,criacuept,criacuept a‚rico
inceptisol,acuept,criacuept,criacuept h£mico a‚rico
inceptisol,acuept,criacuept,criacuept acu ndico
inceptisol,acuept,criacuept,criacuept s£lfico
inceptisol,acuept,endoacuept,endoacuept t¡pico
inceptisol,acuept,endoacuept,endoacuept v‚rtico
inceptisol,acuept,endoacuept,endoacuept l¡tico
inceptisol,acuept,endoacuept,endoacuept m¢lico
inceptisol,acuept,endoacuept,endoacuept fluvacu‚ntico
inceptisol,acuept,endoacuept,endoacuept fluv‚ntico
inceptisol,acuept,endoacuept,endoacuept fr gico
inceptisol,acuept,endoacuept,endoacuept h£mico
inceptisol,acuept,endoacuept,endoacuept a‚rico
inceptisol,acuept,endoacuept,endoacuept acu ndico
inceptisol,acuept,endoacuept,endoacuept s£lfico
inceptisol,acuept,epiacuept,epiacuept t¡pico
inceptisol,acuept,epiacuept,epiacuept v‚rtico
inceptisol,acuept,epiacuept,epiacuept m¢lico
inceptisol,acuept,epiacuept,epiacuept fluvacu‚ntico
inceptisol,acuept,epiacuept,epiacuept fr gico
inceptisol,acuept,epiacuept,epiacuept h£mico
inceptisol,acuept,epiacuept,epiacuept a‚rico
inceptisol,acuept,epiacuept,epiacuept acu ndico
inceptisol,acuept,fragiacuept,fragiacuept t¡pico
inceptisol,acuept,fragiacuept,fragiacuept h£mico
inceptisol,acuept,fragiacuept,fragiacuept a‚rico
inceptisol,acuept,gelacuept,gelacuept t£rbico
inceptisol,acuept,gelacuept,gelacuept t¡pico
inceptisol,acuept,gelacuept,gelacuept l¡tico
inceptisol,acuept,gelacuept,gelacuept fluvacu‚ntico
inceptisol,acuept,gelacuept,gelacuept h¡stico
inceptisol,acuept,gelacuept,gelacuept h£mico
inceptisol,acuept,gelacuept,gelacuept acu ndico
inceptisol,acuept,halacuept,halacuept t¡pico
inceptisol,acuept,halacuept,halacuept v‚rtico
inceptisol,acuept,halacuept,halacuept d£rico
inceptisol,acuept,halacuept,halacuept a‚rico
inceptisol,acuept,halacuept,halacuept acu ndico
inceptisol,acuept,humacuept,humacuept t¡pico
inceptisol,acuept,humacuept,humacuept cum£lico
inceptisol,acuept,humacuept,humacuept fluvacu‚ntico
inceptisol,acuept,humacuept,humacuept h¡stico
inceptisol,acuept,humacuept,humacuept hidracu‚ntico
inceptisol,acuept,humacuept,humacuept a‚rico
inceptisol,acuept,humacuept,humacuept acu ndico
inceptisol,acuept,petracuept,petracuept t¡pico
inceptisol,acuept,petracuept,petracuept pl cico
inceptisol,acuept,petracuept,petracuept pl¡ntico
inceptisol,acuept,petracuept,petracuept pl cico h¡stico
inceptisol,acuept,sulfacuept,sulfacuept t¡pico
inceptisol,acuept,sulfacuept,sulfacuept sal¡dico
inceptisol,acuept,sulfacuept,sulfacuept hidracu‚ntico
inceptisol,acuept,vermacuept,vermacuept t¡pico
inceptisol,acuept,vermacuept,vermacuept s¢dico
inceptisol,criept,calcicriept,c lcicoriept t¡pico
inceptisol,criept,calcicriept,c lcicoriept £stico
inceptisol,criept,calcicriept,c lcicoriept oxi cuico
inceptisol,criept,calcicriept,c lcicoriept x‚rico
inceptisol,criept,calcicriept,c lcicoriept l¡tico
inceptisol,criept,distrocriept,distrocriept t¡pico
inceptisol,criept,distrocriept,distrocriept £stico
inceptisol,criept,distrocriept,distrocriept vitr ndico
inceptisol,criept,distrocriept,distrocriept vitrixer ndico
inceptisol,criept,distrocriept,distrocriept l¡tico
inceptisol,criept,distrocriept,distrocriept oxi cuico
inceptisol,criept,distrocriept,distrocriept sp¢dico
inceptisol,criept,distrocriept,distrocriept  cuico
inceptisol,criept,distrocriept,distrocriept ‚utrico
inceptisol,criept,distrocriept,distrocriept fluvacu‚ntico
inceptisol,criept,distrocriept,distrocriept fluv‚ntico
inceptisol,criept,distrocriept,distrocriept fol¡stico
inceptisol,criept,distrocriept,distrocriept x‚rico
inceptisol,criept,distrocriept,distrocriept haploxer ndico
inceptisol,criept,distrocriept,distrocriept lam‚lico
inceptisol,criept,distrocriept,distrocriept  ndico
inceptisol,criept,distrocriept,distrocriept acu ndico
inceptisol,criept,haplocriept,haplocriept t¡pico
inceptisol,criept,haplocriept,haplocriept £stico
inceptisol,criept,haplocriept,haplocriept ustivitr ndico
inceptisol,criept,haplocriept,haplocriept vitr ndico
inceptisol,criept,haplocriept,haplocriept vitrixer ndico
inceptisol,criept,haplocriept,haplocriept l¡tico
inceptisol,criept,haplocriept,haplocriept oxi cuico
inceptisol,criept,haplocriept,haplocriept  cuico
inceptisol,criept,haplocriept,haplocriept c lcico
inceptisol,criept,haplocriept,haplocriept fluvacu‚ntico
inceptisol,criept,haplocriept,haplocriept fluv‚ntico
inceptisol,criept,haplocriept,haplocriept x‚rico
inceptisol,criept,haplocriept,haplocriept haploxer ndico
inceptisol,criept,haplocriept,haplocriept haplust ndico
inceptisol,criept,haplocriept,haplocriept lam‚lico
inceptisol,criept,haplocriept,haplocriept  ndico
inceptisol,criept,haplocriept,haplocriept acu ndico
inceptisol,criept,h£micoriept,h£micoriept t¡pico
inceptisol,criept,h£micoriept,h£micoriept vitr ndico
inceptisol,criept,h£micoriept,h£micoriept l¡tico
inceptisol,criept,h£micoriept,h£micoriept oxi cuico
inceptisol,criept,h£micoriept,h£micoriept  cuico
inceptisol,criept,h£micoriept,h£micoriept ‚utrico
inceptisol,criept,h£micoriept,h£micoriept fluvacu‚ntico
inceptisol,criept,h£micoriept,h£micoriept fluv‚ntico
inceptisol,criept,h£micoriept,h£micoriept vitrixer ndico
inceptisol,criept,h£micoriept,h£micoriept x‚rico
inceptisol,criept,h£micoriept,h£micoriept haploxer ndico
inceptisol,criept,h£micoriept,h£micoriept lam‚lico
inceptisol,criept,h£micoriept,h£micoriept  ndico
inceptisol,criept,h£micoriept,h£micoriept acu ndico
inceptisol,criept,h£micoriept,h£micoriept sp¢dico
inceptisol,gelept,distrogelept,distrogelept t£rbico
inceptisol,gelept,distrogelept,distrogelept t¡pico
inceptisol,gelept,distrogelept,distrogelept l¡tico
inceptisol,gelept,distrogelept,distrogelept  cuico
inceptisol,gelept,distrogelept,distrogelept fluv‚ntico
inceptisol,gelept,distrogelept,distrogelept  ndico
inceptisol,gelept,haplogelept,haplogelept t£rbico
inceptisol,gelept,haplogelept,haplogelept t¡pico
inceptisol,gelept,haplogelept,haplogelept l¡tico
inceptisol,gelept,haplogelept,haplogelept  cuico
inceptisol,gelept,haplogelept,haplogelept fluv‚ntico
inceptisol,gelept,haplogelept,haplogelept  ndico
inceptisol,gelept,humigelept,humigelept t£rbico
inceptisol,gelept,humigelept,humigelept t¡pico
inceptisol,gelept,humigelept,humigelept l¡tico
inceptisol,gelept,humigelept,humigelept oxi cuico
inceptisol,gelept,humigelept,humigelept  cuico
inceptisol,gelept,humigelept,humigelept ‚utrico
inceptisol,gelept,humigelept,humigelept fluv‚ntico
inceptisol,gelept,humigelept,humigelept  ndico
inceptisol,udept,durudept,durudept t¡pico
inceptisol,udept,durudept,durudept vitr ndico
inceptisol,udept,durudept,durudept  cuico
inceptisol,udept,durudept,durudept  ndico
inceptisol,udept,durudept,durudept acu ndico
inceptisol,udept,distrudept,distrudept t¡pico
inceptisol,udept,distrudept,distrudept v‚rtico
inceptisol,udept,distrudept,distrudept vitr ndico
inceptisol,udept,distrudept,distrudept l¡tico
inceptisol,udept,distrudept,distrudept ¢xico
inceptisol,udept,distrudept,distrudept oxi cuico
inceptisol,udept,distrudept,distrudept  lfico-r£ptico
inceptisol,udept,distrudept,distrudept £ltico-r£ptico
inceptisol,udept,distrudept,distrudept  cuico
inceptisol,udept,distrudept,distrudept h£mico  cuico
inceptisol,udept,distrudept,distrudept fluvacu‚ntico
inceptisol,udept,distrudept,distrudept fluv‚ntico
inceptisol,udept,distrudept,distrudept h£mico fluv‚ntico
inceptisol,udept,distrudept,distrudept fragi cuico
inceptisol,udept,distrudept,distrudept fr gico
inceptisol,udept,distrudept,distrudept h£mico
inceptisol,udept,distrudept,distrudept l¡tico h£mico
inceptisol,udept,distrudept,distrudept psamm‚ntico h£mico
inceptisol,udept,distrudept,distrudept lam‚lico
inceptisol,udept,distrudept,distrudept  ndico
inceptisol,udept,distrudept,distrudept oxi cuico  ndico
inceptisol,udept,distrudept,distrudept acu ndico
inceptisol,udept,distrudept,distrudept sp¢dico
inceptisol,udept,eutrudept,eutrudept t¡pico
inceptisol,udept,eutrudept,eutrudept v‚rtico
inceptisol,udept,eutrudept,eutrudept vitr ndico
inceptisol,udept,eutrudept,eutrudept l¡tico
inceptisol,udept,eutrudept,eutrudept oxi cuico
inceptisol,udept,eutrudept,eutrudept rend¢lico
inceptisol,udept,eutrudept,eutrudept  lfico-r£ptico
inceptisol,udept,eutrudept,eutrudept d¡strico  cuico
inceptisol,udept,eutrudept,eutrudept  cuico
inceptisol,udept,eutrudept,eutrudept ar‚nico
inceptisol,udept,eutrudept,eutrudept d¡strico
inceptisol,udept,eutrudept,eutrudept fluv‚ntico d¡strico
inceptisol,udept,eutrudept,eutrudept fluvacu‚ntico
inceptisol,udept,eutrudept,eutrudept fluv‚ntico
inceptisol,udept,eutrudept,eutrudept fragi cuico
inceptisol,udept,eutrudept,eutrudept fr gico
inceptisol,udept,eutrudept,eutrudept h£mico
inceptisol,udept,eutrudept,eutrudept l¡tico h£mico
inceptisol,udept,eutrudept,eutrudept lam‚lico
inceptisol,udept,eutrudept,eutrudept  ndico
inceptisol,udept,eutrudept,eutrudept antr cuico
inceptisol,udept,eutrudept,eutrudept acu‚rtico
inceptisol,udept,fragiudept,fragiudept t¡pico
inceptisol,udept,fragiudept,fragiudept vitr ndico
inceptisol,udept,fragiudept,fragiudept  cuico
inceptisol,udept,fragiudept,fragiudept h£mico
inceptisol,udept,fragiudept,fragiudept  ndico
inceptisol,udept,humudept,humudept t¡pico
inceptisol,udept,humudept,humudept v‚rtico
inceptisol,udept,humudept,humudept vitr ndico
inceptisol,udept,humudept,humudept l¡tico
inceptisol,udept,humudept,humudept ¢xico
inceptisol,udept,humudept,humudept oxi cuico
inceptisol,udept,humudept,humudept p quico
inceptisol,udept,humudept,humudept psamm‚ntico
inceptisol,udept,humudept,humudept  cuico
inceptisol,udept,humudept,humudept cum£lico
inceptisol,udept,humudept,humudept ‚ntico
inceptisol,udept,humudept,humudept ‚utrico
inceptisol,udept,humudept,humudept fluvacu‚ntico
inceptisol,udept,humudept,humudept fluv‚ntico
inceptisol,udept,humudept,humudept  ndico
inceptisol,udept,humudept,humudept oxi cuico  ndico
inceptisol,udept,humudept,humudept acu ndico
inceptisol,udept,sulfudept,sulfudept t¡pico
inceptisol,ustept,calciustept,calciustept torr‚rtico
inceptisol,ustept,calciustept,calciustept t¡pico
inceptisol,ustept,calciustept,calciustept £dico
inceptisol,ustept,calciustept,calciustept v‚rtico
inceptisol,ustept,calciustept,calciustept gypsico
inceptisol,ustept,calciustept,calciustept petroc lcico l¡tico
inceptisol,ustept,calciustept,calciustept petroc lcico
inceptisol,ustept,calciustept,calciustept ar¡dico
inceptisol,ustept,calciustept,calciustept l¡tico
inceptisol,ustept,calciustept,calciustept  cuico
inceptisol,ustept,durustept,durustept t¡pico
inceptisol,ustept,distrustept,distrustept torr‚rtico
inceptisol,ustept,distrustept,distrustept t¡pico
inceptisol,ustept,distrustept,distrustept v‚rtico
inceptisol,ustept,distrustept,distrustept vitr ndico
inceptisol,ustept,distrustept,distrustept l¡tico
inceptisol,ustept,distrustept,distrustept ¢xico
inceptisol,ustept,distrustept,distrustept  cuico
inceptisol,ustept,distrustept,distrustept ar¡dico
inceptisol,ustept,distrustept,distrustept fluv‚ntico
inceptisol,ustept,distrustept,distrustept h£mico
inceptisol,ustept,distrustept,distrustept  ndico
inceptisol,ustept,haplustept,haplustept torr‚rtico
inceptisol,ustept,haplustept,haplustept torrifluv‚ntico
inceptisol,ustept,haplustept,haplustept t¡pico
inceptisol,ustept,haplustept,haplustept ud‚rtico
inceptisol,ustept,haplustept,haplustept £dico
inceptisol,ustept,haplustept,haplustept udifluv‚ntico
inceptisol,ustept,haplustept,haplustept v‚rtico
inceptisol,ustept,haplustept,haplustept vitr ndico
inceptisol,ustept,haplustept,haplustept gypsico
inceptisol,ustept,haplustept,haplustept l¡tico
inceptisol,ustept,haplustept,haplustept ¢xico
inceptisol,ustept,haplustept,haplustept oxi cuico
inceptisol,ustept,haplustept,haplustept  cuico
inceptisol,ustept,haplustept,haplustept ar¡dico
inceptisol,ustept,haplustept,haplustept l¡tico ar¡dico
inceptisol,ustept,haplustept,haplustept c lcico
inceptisol,ustept,haplustept,haplustept £dico c lcico
inceptisol,ustept,haplustept,haplustept d¡strico
inceptisol,ustept,haplustept,haplustept fluv‚ntico
inceptisol,ustept,haplustept,haplustept haplocalc¡dico
inceptisol,ustept,haplustept,haplustept lam‚lico
inceptisol,ustept,haplustept,haplustept  ndico
inceptisol,ustept,haplustept,haplustept antr cuico
inceptisol,ustept,humustept,humustept t¡pico
inceptisol,ustept,humustept,humustept vitr ndico
inceptisol,ustept,humustept,humustept l¡tico
inceptisol,ustept,humustept,humustept ¢xico
inceptisol,ustept,humustept,humustept oxi cuico
inceptisol,ustept,humustept,humustept ar¡dico
inceptisol,ustept,humustept,humustept  ndico
inceptisol,xerept,calcixerept,calcixerept t¡pico
inceptisol,xerept,calcixerept,calcixerept v‚rtico
inceptisol,xerept,calcixerept,calcixerept vitr ndico
inceptisol,xerept,calcixerept,calcixerept petroc lcico
inceptisol,xerept,calcixerept,calcixerept s¢dico
inceptisol,xerept,calcixerept,calcixerept l¡tico
inceptisol,xerept,calcixerept,calcixerept  cuico
inceptisol,xerept,durixerept,durixerept t¡pico
inceptisol,xerept,durixerept,durixerept vitr ndico
inceptisol,xerept,durixerept,durixerept ‚ntico
inceptisol,xerept,durixerept,durixerept  ndico
inceptisol,xerept,durixerept,durixerept acu ndico
inceptisol,xerept,durixerept,durixerept  cuico
inceptisol,xerept,distroxerept,distroxerept t¡pico
inceptisol,xerept,distroxerept,distroxerept vitr ndico
inceptisol,xerept,distroxerept,distroxerept l¡tico
inceptisol,xerept,distroxerept,distroxerept oxi cuico
inceptisol,xerept,distroxerept,distroxerept  cuico
inceptisol,xerept,distroxerept,distroxerept fluvacu‚ntico
inceptisol,xerept,distroxerept,distroxerept fluv‚ntico
inceptisol,xerept,distroxerept,distroxerept h£mico fluv‚ntico
inceptisol,xerept,distroxerept,distroxerept fragi cuico
inceptisol,xerept,distroxerept,distroxerept fr gico
inceptisol,xerept,distroxerept,distroxerept h£mico
inceptisol,xerept,distroxerept,distroxerept l¡tico h£mico
inceptisol,xerept,distroxerept,distroxerept  ndico
inceptisol,xerept,distroxerept,distroxerept acu ndico
inceptisol,xerept,fragixerept,fragixerept t¡pico
inceptisol,xerept,fragixerept,fragixerept vitr ndico
inceptisol,xerept,fragixerept,fragixerept  cuico
inceptisol,xerept,fragixerept,fragixerept h£mico
inceptisol,xerept,fragixerept,fragixerept  ndico
inceptisol,xerept,haploxerept,haploxerept t¡pico
inceptisol,xerept,haploxerept,haploxerept v‚rtico
inceptisol,xerept,haploxerept,haploxerept vitr ndico
inceptisol,xerept,haploxerept,haploxerept gypsico
inceptisol,xerept,haploxerept,haploxerept l¡tico
inceptisol,xerept,haploxerept,haploxerept oxi cuico
inceptisol,xerept,haploxerept,haploxerept vitr ndico oxi cuico
inceptisol,xerept,haploxerept,haploxerept  cuico
inceptisol,xerept,haploxerept,haploxerept c lcico
inceptisol,xerept,haploxerept,haploxerept fluv‚ntico
inceptisol,xerept,haploxerept,haploxerept fr gico
inceptisol,xerept,haploxerept,haploxerept h£mico
inceptisol,xerept,haploxerept,haploxerept l¡tico h£mico
inceptisol,xerept,haploxerept,haploxerept lam‚lico
inceptisol,xerept,haploxerept,haploxerept  ndico
inceptisol,xerept,haploxerept,haploxerept oxi cuico  ndico
inceptisol,xerept,haploxerept,haploxerept acu ndico
inceptisol,xerept,humixerept,humixerept t¡pico
inceptisol,xerept,humixerept,humixerept vitr ndico
inceptisol,xerept,humixerept,humixerept l¡tico
inceptisol,xerept,humixerept,humixerept oxi cuico
inceptisol,xerept,humixerept,humixerept p quico
inceptisol,xerept,humixerept,humixerept  cuico
inceptisol,xerept,humixerept,humixerept cum£lico
inceptisol,xerept,humixerept,humixerept ‚ntico
inceptisol,xerept,humixerept,humixerept fluv‚ntico
inceptisol,xerept,humixerept,humixerept  ndico
inceptisol,xerept,humixerept,humixerept acu ndico
molisol,albol,argialbol,argialbol t¡pico
molisol,albol,argialbol,argialbol v‚rtico
molisol,albol,argialbol,argialbol argi cuico
molisol,albol,argialbol,argialbol x‚rico argi cuico
molisol,albol,argialbol,argialbol xer‚rtico
molisol,albol,argialbol,argialbol x‚rico
molisol,albol,argialbol,argialbol acu ndico
molisol,albol,natralbol,natralbol t¡pico
molisol,albol,natralbol,natralbol l‚ptico
molisol,acuol,argiacuol,argiacuol t¡pico
molisol,acuol,argiacuol,argiacuol v‚rtico
molisol,acuol,argiacuol,argiacuol grossar‚nico
molisol,acuol,argiacuol,argiacuol ar‚nico
molisol,acuol,argiacuol,argiacuol abr£ptico
molisol,acuol,calciacuol,calciacuol t¡pico
molisol,acuol,calciacuol,calciacuol petroc lcico
molisol,acuol,calciacuol,calciacuol a‚rico
molisol,acuol,criacuol,criacuol t¡pico
molisol,acuol,criacuol,criacuol v‚rtico
molisol,acuol,criacuol,criacuol  rgico
molisol,acuol,criacuol,criacuol c lcico
molisol,acuol,criacuol,criacuol cum£lico
molisol,acuol,criacuol,criacuol h¡stico
molisol,acuol,criacuol,criacuol acu ndico
molisol,acuol,criacuol,criacuol thapto-h¡stico
molisol,acuol,duracuol,duracuol t¡pico
molisol,acuol,duracuol,duracuol v‚rtico
molisol,acuol,duracuol,duracuol n trico
molisol,acuol,duracuol,duracuol  rgico
molisol,acuol,endoacuol,endoacuol t¡pico
molisol,acuol,endoacuol,endoacuol v‚rtico
molisol,acuol,endoacuol,endoacuol l¡tico
molisol,acuol,endoacuol,endoacuol cum£lico
molisol,acuol,endoacuol,endoacuol v‚rtico cum£lico
molisol,acuol,endoacuol,endoacuol d£rico
molisol,acuol,endoacuol,endoacuol fluvacu‚ntico
molisol,acuol,endoacuol,endoacuol v‚rtico fluvacu‚ntico
molisol,acuol,endoacuol,endoacuol h¡stico
molisol,acuol,endoacuol,endoacuol acu ndico
molisol,acuol,endoacuol,endoacuol thapto-h¡stico
molisol,acuol,epiacuol,epiacuol t¡pico
molisol,acuol,epiacuol,epiacuol v‚rtico
molisol,acuol,epiacuol,epiacuol cum£lico
molisol,acuol,epiacuol,epiacuol v‚rtico cum£lico
molisol,acuol,epiacuol,epiacuol d£rico
molisol,acuol,epiacuol,epiacuol fluvacu‚ntico
molisol,acuol,epiacuol,epiacuol v‚rtico fluvacu‚ntico
molisol,acuol,epiacuol,epiacuol h¡stico
molisol,acuol,epiacuol,epiacuol acu ndico
molisol,acuol,epiacuol,epiacuol thapto-h¡stico
molisol,acuol,natracuol,natracuol t¡pico
molisol,acuol,natracuol,natracuol v‚rtico
molisol,acuol,natracuol,natracuol gl¢ssico
molisol,acuol,natracuol,natracuol petroc lcico
molisol,criol,argicriol,argicriol t¡pico
molisol,criol,argicriol,argicriol £stico
molisol,criol,argicriol,argicriol v‚rtico
molisol,criol,argicriol,argicriol vitr ndico
molisol,criol,argicriol,argicriol oxi cuico
molisol,criol,argicriol,argicriol p quico
molisol,criol,argicriol,argicriol c lcico
molisol,criol,argicriol,argicriol p quico c lcico
molisol,criol,argicriol,argicriol x‚rico
molisol,criol,argicriol,argicriol l¡tico
molisol,criol,argicriol,argicriol abr£ptico
molisol,criol,argicriol,argicriol  lfico
molisol,criol,argicriol,argicriol  ndico
molisol,criol,argicriol,argicriol  cuico
molisol,criol,calcicriol,c lcicoriol t¡pico
molisol,criol,calcicriol,c lcicoriol £stico
molisol,criol,calcicriol,c lcicoriol vitr ndico
molisol,criol,calcicriol,c lcicoriol p quico
molisol,criol,calcicriol,c lcicoriol petroc lcico
molisol,criol,calcicriol,c lcicoriol x‚rico
